worker_id,full_name,department,job_role,salary,tenure,employment_status,account_number,attendance_score,last_verification
HRA-60,Staff 60,Sales,Sales Executive,54816,9,Active,0122000046,85,2026-04-15
HRA-61,Staff 61,Research & Development,Research Scientist,36264,1,Active,0122000047,83,2026-04-15
HRA-62,Staff 62,Sales,Sales Executive,69264,9,Active,0122000048,91,2026-04-15
HRA-63,Staff 63,Research & Development,Laboratory Technician,27228,1,Active,0122000049,94,2026-04-15
HRA-64,Staff 64,Research & Development,Laboratory Technician,64572,1,Terminated,0122000050,91,2026-04-15
HRA-65,Staff 65,Research & Development,Laboratory Technician,41292,2,Terminated,0122000051,99,2026-04-15
HRA-68,Staff 68,Sales,Sales Executive,65448,4,Active,0122000052,97,2026-04-15
HRA-70,Staff 70,Research & Development,Healthcare Representative,118608,4,Active,0122000053,80,2026-04-15
HRA-72,Staff 72,Sales,Sales Executive,49884,2,Active,0122000054,91,2026-04-15
HRA-73,Staff 73,Research & Development,Research Director,161496,15,Active,0122000055,96,2026-04-15
HRA-74,Staff 74,Sales,Sales Executive,108828,9,Active,0122000056,94,2026-04-15
HRA-75,Staff 75,Research & Development,Laboratory Technician,48168,2,Active,0122000057,94,2026-04-15
HRA-76,Staff 76,Research & Development,Laboratory Technician,70980,7,Active,0122000058,89,2026-04-15
HRA-77,Staff 77,Research & Development,Manufacturing Director,71916,7,Active,0122000059,87,2026-04-15
HRA-78,Staff 78,Research & Development,Manufacturing Director,73944,9,Active,0122000060,93,2026-04-15
HRA-79,Staff 79,Research & Development,Laboratory Technician,28872,10,Active,0122000061,90,2026-04-15
HRA-80,Staff 80,Research & Development,Research Director,224880,27,Active,0122000062,99,2026-04-15
HRA-81,Staff 81,Sales,Sales Executive,91644,21,Active,0122000063,98,2026-04-15
HRA-83,Staff 83,Research & Development,Healthcare Representative,121152,17,Active,0122000064,95,2026-04-15
HRA-84,Staff 84,Research & Development,Manager,177072,5,Active,0122000065,96,2026-04-15
HRA-85,Staff 85,Research & Development,Manufacturing Director,77988,6,Active,0122000066,82,2026-04-15
HRA-86,Staff 86,Research & Development,Research Scientist,116688,1,Active,0122000067,94,2026-04-15
HRA-88,Staff 88,Research & Development,Research Scientist,26328,3,Active,0122000068,88,2026-04-15
HRA-90,Staff 90,Research & Development,Research Scientist,40656,1,Terminated,0122000069,88,2026-04-15
HRA-91,Staff 91,Sales,Sales Executive,65676,4,Active,0122000070,84,2026-04-15
HRA-94,Staff 94,Research & Development,Research Scientist,32436,5,Active,0122000071,94,2026-04-15
HRA-95,Staff 95,Research & Development,Research Scientist,30012,1,Active,0122000072,91,2026-04-15
HRA-96,Staff 96,Research & Development,Research Scientist,74640,10,Active,0122000073,86,2026-04-15
HRA-97,Staff 97,Research & Development,Laboratory Technician,36456,1,Active,0122000074,86,2026-04-15
HRA-98,Staff 98,Research & Development,Manufacturing Director,53088,11,Active,0122000075,88,2026-04-15
HRA-100,Staff 100,Sales,Sales Executive,51744,15,Active,0122000076,91,2026-04-15
HRA-101,Staff 101,Research & Development,Research Director,158940,0,Active,0122000077,92,2026-04-15
HRA-102,Staff 102,Research & Development,Research Director,163968,5,Active,0122000078,92,2026-04-15
HRA-103,Staff 103,Human Resources,Human Resources,60252,4,Active,0122000079,91,2026-04-15
HRA-104,Staff 104,Research & Development,Laboratory Technician,61512,10,Active,0122000080,85,2026-04-15
HRA-105,Staff 105,Research & Development,Research Scientist,34308,6,Active,0122000081,95,2026-04-15
HRA-106,Staff 106,Sales,Sales Executive,122868,1,Active,0122000082,84,2026-04-15
HRA-107,Staff 107,Research & Development,Research Scientist,63948,13,Active,0122000083,97,2026-04-15
HRA-110,Staff 110,Research & Development,Manufacturing Director,51900,5,Active,0122000084,83,2026-04-15
HRA-112,Staff 112,Research & Development,Manufacturing Director,87120,6,Active,0122000085,91,2026-04-15
HRA-113,Staff 113,Sales,Sales Representative,27864,0,Active,0122000086,91,2026-04-15
HRA-116,Staff 116,Research & Development,Laboratory Technician,24900,4,Active,0122000087,89,2026-04-15
HRA-117,Staff 117,Research & Development,Healthcare Representative,49824,11,Active,0122000088,97,2026-04-15
HRA-118,Staff 118,Sales,Sales Executive,115428,9,Terminated,0122000089,97,2026-04-15
HRA-119,Staff 119,Research & Development,Healthcare Representative,162036,22,Active,0122000090,88,2026-04-15
HRA-120,Staff 120,Sales,Sales Executive,65292,10,Active,0122000091,90,2026-04-15
HRA-121,Staff 121,Sales,Sales Executive,62508,11,Active,0122000092,80,2026-04-15
HRA-124,Staff 124,Research & Development,Healthcare Representative,128076,10,Active,0122000093,83,2026-04-15
HRA-125,Staff 125,Sales,Sales Executive,60120,11,Active,0122000094,83,2026-04-15
HRA-126,Staff 126,Research & Development,Research Director,162588,4,Active,0122000095,91,2026-04-15
HRA-128,Staff 128,Sales,Sales Executive,59988,3,Active,0122000096,88,2026-04-15
HRA-129,Staff 129,Sales,Sales Executive,50652,5,Active,0122000097,95,2026-04-15
HRA-131,Staff 131,Sales,Sales Executive,166464,37,Active,0122000098,85,2026-04-15
HRA-132,Staff 132,Research & Development,Laboratory Technician,24504,3,Active,0122000099,94,2026-04-15
HRA-133,Staff 133,Human Resources,Human Resources,24876,3,Terminated,0122000100,83,2026-04-15
HRA-134,Staff 134,Research & Development,Research Scientist,35472,1,Active,0122000101,87,2026-04-15
HRA-137,Staff 137,Research & Development,Laboratory Technician,35112,1,Terminated,0122000102,92,2026-04-15
HRA-138,Staff 138,Research & Development,Research Scientist,57708,16,Active,0122000103,86,2026-04-15
HRA-139,Staff 139,Research & Development,Healthcare Representative,61956,1,Active,0122000104,84,2026-04-15
HRA-140,Staff 140,Human Resources,Manager,226128,3,Active,0122000105,96,2026-04-15
HRA-141,Staff 141,Research & Development,Research Director,218064,8,Active,0122000106,85,2026-04-15
HRA-142,Staff 142,Sales,Sales Executive,68928,6,Terminated,0122000107,83,2026-04-15
HRA-143,Staff 143,Research & Development,Research Scientist,34668,2,Active,0122000108,92,2026-04-15
HRA-144,Staff 144,Research & Development,Laboratory Technician,34452,0,Active,0122000109,84,2026-04-15
HRA-145,Staff 145,Research & Development,Healthcare Representative,89808,13,Active,0122000110,97,2026-04-15
HRA-147,Staff 147,Research & Development,Laboratory Technician,72888,9,Terminated,0122000111,87,2026-04-15
HRA-148,Staff 148,Human Resources,Manager,207936,5,Active,0122000112,90,2026-04-15
HRA-150,Staff 150,Research & Development,Laboratory Technician,33288,5,Active,0122000113,98,2026-04-15
HRA-151,Staff 151,Research & Development,Research Scientist,54060,1,Active,0122000114,81,2026-04-15
HRA-152,Staff 152,Sales,Sales Executive,89136,5,Active,0122000115,87,2026-04-15
HRA-153,Staff 153,Research & Development,Manager,139572,11,Active,0122000116,87,2026-04-15
HRA-154,Staff 154,Sales,Sales Executive,116856,9,Active,0122000117,95,2026-04-15
HRA-155,Staff 155,Research & Development,Laboratory Technician,34020,1,Active,0122000118,91,2026-04-15
HRA-158,Staff 158,Sales,Manager,203508,25,Active,0122000119,83,2026-04-15
HRA-159,Staff 159,Research & Development,Research Scientist,31356,10,Active,0122000120,98,2026-04-15
HRA-160,Staff 160,Sales,Sales Executive,73752,7,Active,0122000121,85,2026-04-15
HRA-161,Staff 161,Research & Development,Research Scientist,59556,5,Terminated,0122000122,85,2026-04-15
HRA-162,Staff 162,Research & Development,Research Director,234444,20,Active,0122000123,84,2026-04-15
HRA-163,Staff 163,Sales,Sales Executive,74064,7,Terminated,0122000124,90,2026-04-15
HRA-164,Staff 164,Research & Development,Research Scientist,28416,5,Active,0122000125,84,2026-04-15
HRA-165,Staff 165,Research & Development,Healthcare Representative,123744,40,Terminated,0122000126,84,2026-04-15
HRA-167,Staff 167,Sales,Sales Representative,20100,0,Terminated,0122000127,98,2026-04-15
HRA-169,Staff 169,Research & Development,Laboratory Technician,30276,2,Active,0122000128,82,2026-04-15
HRA-170,Staff 170,Research & Development,Manufacturing Director,78804,15,Active,0122000129,92,2026-04-15
HRA-171,Staff 171,Research & Development,Research Scientist,56868,3,Active,0122000130,93,2026-04-15
HRA-174,Staff 174,Sales,Sales Executive,110496,2,Active,0122000131,88,2026-04-15
HRA-175,Staff 175,Sales,Sales Executive,54708,2,Terminated,0122000132,85,2026-04-15
HRA-176,Staff 176,Sales,Sales Executive,98268,9,Active,0122000133,89,2026-04-15
HRA-177,Staff 177,Human Resources,Human Resources,35304,8,Active,0122000134,89,2026-04-15
HRA-178,Staff 178,Research & Development,Manufacturing Director,59292,3,Active,0122000135,84,2026-04-15
HRA-179,Staff 179,Research & Development,Manufacturing Director,127800,4,Terminated,0122000136,87,2026-04-15
HRA-182,Staff 182,Sales,Sales Executive,70824,15,Active,0122000137,83,2026-04-15
HRA-183,Staff 183,Sales,Sales Executive,103668,2,Active,0122000138,96,2026-04-15
HRA-184,Staff 184,Human Resources,Human Resources,76164,11,Active,0122000139,92,2026-04-15
HRA-190,Staff 190,Research & Development,Laboratory Technician,50400,5,Terminated,0122000140,91,2026-04-15
HRA-192,Staff 192,Research & Development,Research Scientist,41424,6,Active,0122000141,86,2026-04-15
HRA-193,Staff 193,Research & Development,Research Scientist,51804,3,Active,0122000142,91,2026-04-15
HRA-194,Staff 194,Research & Development,Research Scientist,31584,5,Active,0122000143,84,2026-04-15
HRA-195,Staff 195,Sales,Sales Executive,56016,8,Active,0122000144,94,2026-04-15
HRA-197,Staff 197,Research & Development,Research Scientist,38448,3,Active,0122000145,80,2026-04-15
HRA-198,Staff 198,Research & Development,Laboratory Technician,32640,5,Active,0122000146,87,2026-04-15
HRA-199,Staff 199,Research & Development,Manager,206172,7,Active,0122000147,93,2026-04-15
HRA-200,Staff 200,Research & Development,Laboratory Technician,26856,5,Active,0122000148,82,2026-04-15
HRA-201,Staff 201,Research & Development,Laboratory Technician,17796,1,Active,0122000149,90,2026-04-15
HRA-202,Staff 202,Research & Development,Research Scientist,67260,20,Active,0122000150,90,2026-04-15
HRA-204,Staff 204,Sales,Sales Executive,87540,10,Active,0122000151,96,2026-04-15
HRA-205,Staff 205,Sales,Sales Representative,27672,7,Active,0122000152,97,2026-04-15
HRA-206,Staff 206,Research & Development,Laboratory Technician,28176,17,Active,0122000153,84,2026-04-15
HRA-207,Staff 207,Sales,Sales Executive,107976,9,Active,0122000154,98,2026-04-15
HRA-208,Staff 208,Research & Development,Manufacturing Director,51828,10,Active,0122000155,90,2026-04-15
HRA-211,Staff 211,Research & Development,Manufacturing Director,73584,1,Active,0122000156,80,2026-04-15
HRA-214,Staff 214,Research & Development,Research Scientist,40152,1,Active,0122000157,92,2026-04-15
HRA-215,Staff 215,Sales,Sales Executive,130260,12,Active,0122000158,95,2026-04-15
HRA-216,Staff 216,Sales,Sales Representative,26772,4,Active,0122000159,95,2026-04-15
HRA-217,Staff 217,Research & Development,Research Scientist,27876,2,Active,0122000160,82,2026-04-15
HRA-218,Staff 218,Research & Development,Research Scientist,24288,2,Active,0122000161,94,2026-04-15
HRA-221,Staff 221,Research & Development,Research Scientist,32556,5,Active,0122000162,90,2026-04-15
HRA-223,Staff 223,Research & Development,Healthcare Representative,113268,5,Active,0122000163,88,2026-04-15
HRA-224,Staff 224,Research & Development,Research Scientist,30792,1,Active,0122000164,83,2026-04-15
HRA-226,Staff 226,Research & Development,Manager,239112,5,Active,0122000165,86,2026-04-15
HRA-227,Staff 227,Research & Development,Research Scientist,29412,9,Active,0122000166,88,2026-04-15
HRA-228,Staff 228,Sales,Sales Executive,113028,10,Active,0122000167,95,2026-04-15
HRA-230,Staff 230,Sales,Sales Executive,104232,8,Active,0122000168,94,2026-04-15
HRA-231,Staff 231,Research & Development,Research Scientist,36456,5,Active,0122000169,86,2026-04-15
HRA-233,Staff 233,Research & Development,Research Scientist,36696,5,Active,0122000170,90,2026-04-15
HRA-235,Staff 235,Sales,Sales Representative,27900,0,Terminated,0122000171,85,2026-04-15
HRA-238,Staff 238,Research & Development,Laboratory Technician,25056,8,Active,0122000172,90,2026-04-15
HRA-239,Staff 239,Research & Development,Laboratory Technician,36864,12,Active,0122000173,92,2026-04-15
HRA-240,Staff 240,Sales,Sales Executive,60072,5,Active,0122000174,97,2026-04-15
HRA-241,Staff 241,Research & Development,Research Scientist,51084,2,Active,0122000175,96,2026-04-15
HRA-242,Staff 242,Research & Development,Research Scientist,30000,3,Active,0122000176,95,2026-04-15
HRA-243,Staff 243,Research & Development,Laboratory Technician,13224,1,Terminated,0122000177,95,2026-04-15
HRA-244,Staff 244,Sales,Sales Executive,125436,24,Active,0122000178,97,2026-04-15
HRA-245,Staff 245,Research & Development,Laboratory Technician,27456,2,Active,0122000179,91,2026-04-15
HRA-246,Staff 246,Research & Development,Research Scientist,47148,4,Active,0122000180,86,2026-04-15
HRA-247,Staff 247,Research & Development,Research Scientist,27732,3,Active,0122000181,91,2026-04-15
HRA-248,Staff 248,Sales,Sales Representative,37680,4,Terminated,0122000182,87,2026-04-15
HRA-249,Staff 249,Research & Development,Laboratory Technician,44280,3,Active,0122000183,88,2026-04-15
HRA-250,Staff 250,Research & Development,Manufacturing Director,53400,4,Active,0122000184,84,2026-04-15
HRA-252,Staff 252,Research & Development,Research Scientist,33072,8,Active,0122000185,86,2026-04-15
HRA-253,Staff 253,Research & Development,Manager,228396,20,Active,0122000186,84,2026-04-15
HRA-254,Staff 254,Research & Development,Research Director,224664,24,Active,0122000187,98,2026-04-15
HRA-256,Staff 256,Research & Development,Manufacturing Director,114564,10,Active,0122000188,89,2026-04-15
HRA-258,Staff 258,Research & Development,Healthcare Representative,164808,7,Active,0122000189,86,2026-04-15
HRA-259,Staff 259,Research & Development,Manager,239988,33,Active,0122000190,81,2026-04-15
HRA-260,Staff 260,Research & Development,Research Scientist,27348,7,Active,0122000191,85,2026-04-15
HRA-261,Staff 261,Research & Development,Manufacturing Director,70992,1,Terminated,0122000192,92,2026-04-15
HRA-262,Staff 262,Research & Development,Research Scientist,25068,5,Active,0122000193,83,2026-04-15
HRA-264,Staff 264,Research & Development,Manager,201504,20,Active,0122000194,94,2026-04-15
HRA-267,Staff 267,Research & Development,Research Scientist,42768,8,Active,0122000195,92,2026-04-15
HRA-269,Staff 269,Research & Development,Laboratory Technician,53100,6,Active,0122000196,97,2026-04-15
HRA-270,Staff 270,Research & Development,Manufacturing Director,63180,5,Active,0122000197,99,2026-04-15
HRA-271,Staff 271,Research & Development,Manufacturing Director,78636,1,Active,0122000198,91,2026-04-15
HRA-273,Staff 273,Research & Development,Manufacturing Director,75132,7,Active,0122000199,98,2026-04-15
HRA-274,Staff 274,Research & Development,Manufacturing Director,51576,2,Active,0122000200,82,2026-04-15
HRA-275,Staff 275,Research & Development,Manufacturing Director,81648,7,Active,0122000201,83,2026-04-15
HRA-277,Staff 277,Research & Development,Research Scientist,45780,5,Active,0122000202,80,2026-04-15
HRA-281,Staff 281,Research & Development,Laboratory Technician,32892,7,Active,0122000203,89,2026-04-15
HRA-282,Staff 282,Research & Development,Healthcare Representative,80076,1,Terminated,0122000204,85,2026-04-15
HRA-283,Staff 283,Sales,Sales Executive,91668,10,Terminated,0122000205,82,2026-04-15
HRA-284,Staff 284,Research & Development,Research Scientist,27936,4,Active,0122000206,88,2026-04-15
HRA-286,Staff 286,Research & Development,Laboratory Technician,25836,8,Active,0122000207,87,2026-04-15
HRA-287,Staff 287,Research & Development,Healthcare Representative,58512,3,Active,0122000208,93,2026-04-15
HRA-288,Staff 288,Research & Development,Healthcare Representative,112752,4,Active,0122000209,91,2026-04-15
HRA-291,Staff 291,Sales,Sales Executive,124800,14,Terminated,0122000210,83,2026-04-15
HRA-292,Staff 292,Research & Development,Manufacturing Director,101688,11,Active,0122000211,87,2026-04-15
HRA-293,Staff 293,Sales,Sales Executive,119772,7,Active,0122000212,87,2026-04-15
HRA-296,Staff 296,Research & Development,Research Director,149880,10,Active,0122000213,84,2026-04-15
HRA-297,Staff 297,Research & Development,Research Scientist,31884,5,Terminated,0122000214,87,2026-04-15
HRA-298,Staff 298,Sales,Manager,163092,1,Active,0122000215,98,2026-04-15
HRA-299,Staff 299,Sales,Sales Executive,80352,6,Terminated,0122000216,93,2026-04-15
HRA-300,Staff 300,Research & Development,Research Scientist,24696,6,Terminated,0122000217,97,2026-04-15
HRA-302,Staff 302,Sales,Sales Executive,106380,19,Active,0122000218,99,2026-04-15
HRA-303,Staff 303,Sales,Sales Executive,71280,6,Active,0122000219,87,2026-04-15
HRA-304,Staff 304,Research & Development,Laboratory Technician,70968,13,Active,0122000220,84,2026-04-15
HRA-305,Staff 305,Research & Development,Research Scientist,31464,3,Active,0122000221,96,2026-04-15
HRA-306,Staff 306,Research & Development,Research Director,146220,10,Active,0122000222,92,2026-04-15
HRA-307,Staff 307,Sales,Sales Executive,127308,16,Active,0122000223,80,2026-04-15
HRA-308,Staff 308,Research & Development,Manufacturing Director,52140,5,Active,0122000224,96,2026-04-15
HRA-309,Staff 309,Research & Development,Research Scientist,26124,1,Active,0122000225,81,2026-04-15
HRA-311,Staff 311,Sales,Sales Representative,33516,9,Active,0122000226,89,2026-04-15
HRA-312,Staff 312,Sales,Sales Executive,95016,11,Active,0122000227,92,2026-04-15
HRA-314,Staff 314,Sales,Sales Executive,105468,10,Active,0122000228,83,2026-04-15
HRA-315,Staff 315,Research & Development,Research Scientist,28668,4,Terminated,0122000229,91,2026-04-15
HRA-316,Staff 316,Research & Development,Laboratory Technician,38544,2,Active,0122000230,99,2026-04-15
HRA-319,Staff 319,Research & Development,Manager,230784,22,Active,0122000231,80,2026-04-15
HRA-321,Staff 321,Human Resources,Human Resources,27204,2,Active,0122000232,94,2026-04-15
HRA-323,Staff 323,Sales,Manager,234204,7,Active,0122000233,95,2026-04-15
HRA-325,Staff 325,Research & Development,Laboratory Technician,29232,5,Terminated,0122000234,84,2026-04-15
HRA-327,Staff 327,Sales,Manager,192768,17,Active,0122000235,92,2026-04-15
HRA-328,Staff 328,Research & Development,Laboratory Technician,32484,9,Terminated,0122000236,91,2026-04-15
HRA-329,Staff 329,Sales,Manager,228816,33,Active,0122000237,97,2026-04-15
HRA-330,Staff 330,Sales,Sales Representative,47172,4,Active,0122000238,94,2026-04-15
HRA-331,Staff 331,Research & Development,Laboratory Technician,44760,3,Terminated,0122000239,92,2026-04-15
HRA-332,Staff 332,Research & Development,Laboratory Technician,26784,3,Active,0122000240,89,2026-04-15
HRA-333,Staff 333,Sales,Sales Executive,53580,3,Active,0122000241,89,2026-04-15
HRA-334,Staff 334,Research & Development,Research Scientist,36864,1,Active,0122000242,96,2026-04-15
HRA-335,Staff 335,Research & Development,Research Scientist,39828,9,Active,0122000243,97,2026-04-15
HRA-336,Staff 336,Research & Development,Manager,230424,24,Active,0122000244,89,2026-04-15
HRA-337,Staff 337,Research & Development,Research Director,164100,2,Active,0122000245,87,2026-04-15
HRA-338,Staff 338,Research & Development,Research Scientist,34932,2,Active,0122000246,84,2026-04-15
HRA-339,Staff 339,Research & Development,Manufacturing Director,71484,11,Active,0122000247,93,2026-04-15
HRA-340,Staff 340,Research & Development,Research Scientist,47040,3,Active,0122000248,98,2026-04-15
HRA-341,Staff 341,Research & Development,Manufacturing Director,77208,3,Active,0122000249,95,2026-04-15
HRA-342,Staff 342,Research & Development,Manufacturing Director,120576,1,Terminated,0122000250,99,2026-04-15
HRA-343,Staff 343,Research & Development,Healthcare Representative,131256,19,Active,0122000251,94,2026-04-15
HRA-346,Staff 346,Research & Development,Research Scientist,28080,6,Active,0122000252,82,2026-04-15
HRA-347,Staff 347,Research & Development,Research Scientist,78540,3,Active,0122000253,91,2026-04-15
HRA-349,Staff 349,Sales,Sales Executive,83172,3,Active,0122000254,97,2026-04-15
HRA-350,Staff 350,Research & Development,Manufacturing Director,58776,4,Active,0122000255,97,2026-04-15
HRA-351,Staff 351,Research & Development,Laboratory Technician,31116,9,Active,0122000256,98,2026-04-15
HRA-352,Staff 352,Research & Development,Research Director,233232,21,Active,0122000257,93,2026-04-15
HRA-353,Staff 353,Research & Development,Research Scientist,32676,1,Active,0122000258,98,2026-04-15
HRA-355,Staff 355,Research & Development,Laboratory Technician,41748,5,Terminated,0122000259,86,2026-04-15
HRA-359,Staff 359,Research & Development,Laboratory Technician,33528,5,Active,0122000260,80,2026-04-15
HRA-361,Staff 361,Sales,Sales Executive,62988,8,Active,0122000261,94,2026-04-15
HRA-362,Staff 362,Research & Development,Laboratory Technician,26112,6,Active,0122000262,92,2026-04-15
HRA-363,Staff 363,Sales,Manager,202464,7,Active,0122000263,87,2026-04-15
HRA-364,Staff 364,Research & Development,Laboratory Technician,41820,0,Terminated,0122000264,91,2026-04-15
HRA-366,Staff 366,Sales,Sales Executive,79728,0,Active,0122000265,81,2026-04-15
HRA-367,Staff 367,Research & Development,Healthcare Representative,66984,9,Active,0122000266,99,2026-04-15
HRA-369,Staff 369,Research & Development,Healthcare Representative,48000,6,Active,0122000267,85,2026-04-15
HRA-372,Staff 372,Research & Development,Healthcare Representative,161952,20,Active,0122000268,81,2026-04-15
HRA-373,Staff 373,Research & Development,Laboratory Technician,38520,15,Active,0122000269,82,2026-04-15
HRA-374,Staff 374,Research & Development,Manager,228540,36,Active,0122000270,84,2026-04-15
HRA-376,Staff 376,Research & Development,Manager,142188,10,Terminated,0122000271,87,2026-04-15
HRA-377,Staff 377,Research & Development,Research Scientist,24840,5,Active,0122000272,94,2026-04-15
HRA-378,Staff 378,Sales,Sales Executive,78024,5,Active,0122000273,98,2026-04-15
HRA-379,Staff 379,Research & Development,Research Scientist,38760,3,Active,0122000274,99,2026-04-15
HRA-380,Staff 380,Research & Development,Research Director,163236,5,Active,0122000275,94,2026-04-15
HRA-381,Staff 381,Research & Development,Manager,143952,7,Active,0122000276,99,2026-04-15
HRA-382,Staff 382,Sales,Sales Executive,67260,8,Active,0122000277,98,2026-04-15
HRA-384,Staff 384,Research & Development,Manufacturing Director,76764,6,Active,0122000278,83,2026-04-15
HRA-385,Staff 385,Research & Development,Research Director,229728,10,Active,0122000279,93,2026-04-15
HRA-386,Staff 386,Research & Development,Research Director,211008,5,Active,0122000280,96,2026-04-15
HRA-387,Staff 387,Sales,Sales Executive,58884,20,Active,0122000281,91,2026-04-15
HRA-388,Staff 388,Sales,Sales Executive,54648,10,Active,0122000282,86,2026-04-15
HRA-389,Staff 389,Research & Development,Laboratory Technician,64980,10,Active,0122000283,96,2026-04-15
HRA-390,Staff 390,Research & Development,Healthcare Representative,56892,5,Active,0122000284,86,2026-04-15
HRA-391,Staff 391,Research & Development,Research Scientist,25380,17,Active,0122000285,88,2026-04-15
HRA-392,Staff 392,Research & Development,Laboratory Technician,37932,1,Terminated,0122000286,82,2026-04-15
HRA-393,Staff 393,Research & Development,Healthcare Representative,68940,2,Active,0122000287,92,2026-04-15
HRA-394,Staff 394,Research & Development,Laboratory Technician,28476,3,Terminated,0122000288,97,2026-04-15
HRA-395,Staff 395,Research & Development,Research Scientist,39720,5,Active,0122000289,92,2026-04-15
HRA-396,Staff 396,Research & Development,Research Director,223980,3,Active,0122000290,99,2026-04-15
HRA-397,Staff 397,Research & Development,Research Scientist,53820,8,Active,0122000291,97,2026-04-15
HRA-399,Staff 399,Sales,Sales Representative,33468,2,Active,0122000292,93,2026-04-15
HRA-401,Staff 401,Sales,Sales Executive,69936,8,Terminated,0122000293,86,2026-04-15
